LOCATION,INDICATOR,,FREQUENCY,TIME,Flag Codes,Tons of Beef,Beef kg/cap,Tons of Pork,Pork kg/cap,Tons of Poultry,Poultry kg/cap,Tons of Sheep,Sheep kg/cap
PRY,MEATCONSUMP,,A,1997,,197.714,27.789,118.068,18.491,36.631,6.473,3.182,0.562
PRY,MEATCONSUMP,,A,1998,,192.529,26.481,119.445,18.306,38.049,6.579,3.388,0.586
PRY,MEATCONSUMP,,A,1999,,224.538,30.244,120.668,18.111,41.966,7.106,3.438,0.582
PRY,MEATCONSUMP,,A,2000,,181.63,23.977,157.318,23.141,34.889,5.79,3.264,0.542
PRY,MEATCONSUMP,,A,2001,,173.591,22.475,143.545,20.709,38.178,6.214,3.248,0.529
PRY,MEATCONSUMP,,A,2002,,215.748,27.416,150.61,21.326,38.213,6.105,3.273,0.523
PRY,MEATCONSUMP,,A,2003,,181.92,22.708,84.275,11.722,38.951,6.112,3.234,0.508
PRY,MEATCONSUMP,,A,2004,,108.571,13.325,155.949,21.326,43.036,6.64,3.661,0.565
PRY,MEATCONSUMP,,A,2005,,71.485,8.634,150.955,20.317,43.014,6.531,3.287,0.499
PRY,MEATCONSUMP,,A,2006,,79.198,9.424,154.388,20.47,46.582,6.968,3.403,0.509
PRY,MEATCONSUMP,,A,2007,,86.7,10.172,147.847,19.329,31.118,4.59,3.285,0.485
PRY,MEATCONSUMP,,A,2008,,88.974,10.299,143.466,18.505,37.937,5.521,3.2,0.466
PRY,MEATCONSUMP,,A,2009,,88.075,10.061,144.416,18.382,37.114,5.33,3.435,0.493
PRY,MEATCONSUMP,,A,2010,,82.487,9.298,161.47,20.282,36.052,5.109,3.59,0.509
PRY,MEATCONSUMP,,A,2011,,167.884,18.672,166.165,20.593,40.665,5.686,3.67,0.513
PRY,MEATCONSUMP,,A,2012,,72.583,7.965,169.407,20.714,41.912,5.782,3.755,0.518
PRY,MEATCONSUMP,,A,2013,,85.952,9.305,176.127,21.247,43.463,5.915,3.795,0.517
PRY,MEATCONSUMP,,A,2014,,109.653,11.714,180.381,21.472,43.878,5.893,3.834,0.515
PRY,MEATCONSUMP,,A,2015,,93.023,9.808,184.429,21.668,43.966,5.828,3.693,0.49
PRY,MEATCONSUMP,,A,2016,,112.329,11.692,188.828,21.9,42.316,5.537,3.927,0.514
PRY,MEATCONSUMP,,A,2017,,137.615,14.143,190.64,21.831,41.384,5.347,3.984,0.515
PRY,MEATCONSUMP,,A,2018,,125.311,12.718,191.336,21.639,41.522,5.298,3.93,0.502
PRY,MEATCONSUMP,,A,2019,,120.187,12.05,193,21.561,42.448,5.35,3.93,0.495
RUS,MEATCONSUMP,,A,1990,,0,0,0,0,0,0,0,0
RUS,MEATCONSUMP,,A,1991,,0,0,0,0,0,0,0,0
RUS,MEATCONSUMP,,A,1992,,4278.848,20.201,0,0,1484.034,8.808,348.367,2.068
RUS,MEATCONSUMP,,A,1993,,4006.307,18.901,2792.227,14.679,1455.22,8.631,371.909,2.206
RUS,MEATCONSUMP,,A,1994,,3805.007,17.954,2514.14,13.219,1767.4,10.484,317.324,1.882
RUS,MEATCONSUMP,,A,1995,,3304.497,15.605,2378.134,12.514,1829.7,10.863,291.464,1.73
RUS,MEATCONSUMP,,A,1996,,3201.924,15.142,2216.252,11.679,1943.316,11.553,238.658,1.419
RUS,MEATCONSUMP,,A,1997,,3219.442,15.255,2239.944,11.827,2082.973,12.408,217.003,1.293
RUS,MEATCONSUMP,,A,1998,,2947.76,14.003,2216.9,11.734,1896.369,11.325,191.276,1.142
RUS,MEATCONSUMP,,A,1999,,2508.128,11.95,2018,10.714,1888.57,11.312,146.207,0.876
RUS,MEATCONSUMP,,A,2000,,2146.845,10.265,1791.508,9.545,1464.899,8.805,142.092,0.854
RUS,MEATCONSUMP,,A,2001,,2338.327,11.224,1913.071,10.232,2153.506,12.995,135.598,0.818
RUS,MEATCONSUMP,,A,2002,,2481.506,11.962,2226.72,11.96,2337.123,14.163,139.443,0.845
RUS,MEATCONSUMP,,A,2003,,2524.366,12.219,2109.241,11.377,2319.246,14.113,136.143,0.829
RUS,MEATCONSUMP,,A,2004,,2487.536,12.085,2171.142,11.754,2355.54,14.387,145.717,0.89
RUS,MEATCONSUMP,,A,2005,,2607.293,12.703,2381.957,12.932,2776.843,17.008,161.075,0.987
RUS,MEATCONSUMP,,A,2006,,2467,12.042,2574.325,14.002,2951.226,18.11,169.768,1.042
RUS,MEATCONSUMP,,A,2007,,2721.951,13.3,3045.058,16.579,3265.123,20.056,179.142,1.1
RUS,MEATCONSUMP,,A,2008,,2929.764,14.317,3329.991,18.132,3479.081,21.373,205.258,1.261
RUS,MEATCONSUMP,,A,2009,,2652.627,12.955,3202.871,17.43,3551.915,21.808,190.957,1.172
RUS,MEATCONSUMP,,A,2010,,2591.245,12.642,3087.74,16.786,3561.354,21.843,193.377,1.186
RUS,MEATCONSUMP,,A,2011,,2747.424,13.383,3411.927,18.52,3709.108,22.714,200.824,1.23
RUS,MEATCONSUMP,,A,2012,,2861.387,13.91,3363.74,18.221,4225.121,25.821,199.274,1.218
RUS,MEATCONSUMP,,A,2013,,2513.937,12.193,3559.835,19.239,4369.633,26.643,199.474,1.216
RUS,MEATCONSUMP,,A,2014,,2461.705,11.912,3334.421,17.978,4563.635,27.761,208.641,1.269
RUS,MEATCONSUMP,,A,2015,,2232.391,10.778,3378.912,18.178,4776.608,28.992,206.098,1.251
RUS,MEATCONSUMP,,A,2016,,2080.308,10.024,3572.59,19.182,4759.522,28.831,215.817,1.307
RUS,MEATCONSUMP,,A,2017,,2046.123,9.842,3738.69,20.038,5034.422,30.442,217.77,1.317
RUS,MEATCONSUMP,,A,2018,,2081.058,9.996,3727.922,19.953,5039.197,30.429,213.729,1.291
RUS,MEATCONSUMP,,A,2019,,2098.465,10.07,3849.082,20.582,5076.07,30.622,211.009,1.273
SAU,MEATCONSUMP,,A,1990,,70.37,3.017,0,0,475.191,25.612,105.132,5.667
SAU,MEATCONSUMP,,A,1991,,83.171,3.452,0,0,525.059,27.393,109.555,5.716
SAU,MEATCONSUMP,,A,1992,,87.691,3.532,0,0,473.659,23.984,116.804,5.915
SAU,MEATCONSUMP,,A,1993,,50.697,1.987,0,0,450.339,22.19,152.509,7.515
SAU,MEATCONSUMP,,A,1994,,54.844,2.097,0,0,432.053,20.764,136.885,6.579
SAU,MEATCONSUMP,,A,1995,,96.66,3.611,0,0,565.801,26.575,154.471,7.255
SAU,MEATCONSUMP,,A,1996,,67.145,2.457,0,0,548.728,25.24,151.651,6.976
SAU,MEATCONSUMP,,A,1997,,64.602,2.318,0,0,617.672,27.867,148.499,6.7
SAU,MEATCONSUMP,,A,1998,,81.996,2.887,0,0,700.823,31.019,141.307,6.254
SAU,MEATCONSUMP,,A,1999,,59.836,2.064,0,0,780.345,33.837,146.3,6.344
SAU,MEATCONSUMP,,A,2000,,84.595,2.852,2.1,0.079,814.724,34.528,155.152,6.575
SAU,MEATCONSUMP,,A,2001,,52.854,1.737,2.776,0.102,890.329,36.777,142.014,5.866
SAU,MEATCONSUMP,,A,2002,,85.015,2.717,2.6,0.093,862.936,34.665,144.01,5.785
SAU,MEATCONSUMP,,A,2003,,86.748,2.692,2.274,0.079,880.611,34.356,151.371,5.906
SAU,MEATCONSUMP,,A,2004,,108.295,3.264,2.49,0.084,829.991,31.443,154.396,5.849
SAU,MEATCONSUMP,,A,2005,,102.274,2.995,4.741,0.155,976.389,35.942,168.003,6.184
SAU,MEATCONSUMP,,A,2006,,132.143,3.764,4.147,0.132,947.117,33.911,147.575,5.284
SAU,MEATCONSUMP,,A,2007,,144.965,4.018,5.409,0.167,1003.039,34.954,157.637,5.493
SAU,MEATCONSUMP,,A,2008,,148.849,4.017,0.023,0.001,1077.171,36.541,138.459,4.697
SAU,MEATCONSUMP,,A,2009,,153.224,4.023,0.052,0.002,1180.693,38.97,131.035,4.325
SAU,MEATCONSUMP,,A,2010,,171.751,4.384,6.21,0.177,1237.304,39.701,155.655,4.995
SAU,MEATCONSUMP,,A,2011,,168.97,4.189,8.605,0.238,1238.449,38.595,172.587,5.378
SAU,MEATCONSUMP,,A,2012,,186.138,4.48,9.196,0.247,1239.501,37.501,182.214,5.513
SAU,MEATCONSUMP,,A,2013,,182.426,4.265,4.631,0.121,1414.464,41.568,184.996,5.437
SAU,MEATCONSUMP,,A,2014,,179.586,4.085,7.9,0.2,1435.249,41.038,197.798,5.656
SAU,MEATCONSUMP,,A,2015,,196.103,4.35,7.993,0.198,1539.566,42.932,200.988,5.605
SAU,MEATCONSUMP,,A,2016,,184.499,4.001,6.983,0.169,1523.632,41.542,172.969,4.716
SAU,MEATCONSUMP,,A,2017,,174.808,3.715,20.913,0.495,1293.805,34.566,174.389,4.659
SAU,MEATCONSUMP,,A,2018,,176.354,3.679,20.908,0.486,1343.429,35.233,168.155,4.41
SAU,MEATCONSUMP,,A,2019,,186.8,3.83,17.9,0.409,1355.132,34.93,171.76,4.427
THA,MEATCONSUMP,,A,1990,,316.45,3.915,336.01,4.632,524.17,8.152,1.325,0.021
THA,MEATCONSUMP,,A,1991,,318.915,3.899,400.503,5.456,699.791,10.755,1.414,0.022
THA,MEATCONSUMP,,A,1992,,316.184,3.827,432.791,5.837,849.797,12.93,1.691,0.026
THA,MEATCONSUMP,,A,1993,,337.227,4.045,457.627,6.116,878.261,13.242,1.31,0.02
THA,MEATCONSUMP,,A,1994,,274.1,3.258,487.9,6.461,814.6,12.17,1.2,0.018
THA,MEATCONSUMP,,A,1995,,359.024,4.224,486.05,6.373,812.46,12.018,1.1,0.016
THA,MEATCONSUMP,,A,1996,,323.1,3.76,509.64,6.609,857.526,12.545,0.818,0.012
THA,MEATCONSUMP,,A,1997,,284.432,3.271,530.495,6.799,840.284,12.149,0.852,0.012
THA,MEATCONSUMP,,A,1998,,251.973,2.864,463.712,5.872,900.182,12.86,0.93,0.013
THA,MEATCONSUMP,,A,1999,,228.252,2.564,450.025,5.634,798.487,11.278,0.925,0.013
THA,MEATCONSUMP,,A,2000,,199.355,2.217,685.529,8.493,747.168,10.444,1.027,0.014
THA,MEATCONSUMP,,A,2001,,146.619,1.615,687.819,8.443,752.542,10.422,1.391,0.019
THA,MEATCONSUMP,,A,2002,,140.815,1.538,770.875,9.384,685.014,9.408,1.318,0.018
THA,MEATCONSUMP,,A,2003,,142.679,1.547,852.624,10.302,722.963,9.855,1.414,0.019
THA,MEATCONSUMP,,A,2004,,152.129,1.638,863.707,10.364,588.646,7.969,1.93,0.026
THA,MEATCONSUMP,,A,2005,,152.806,1.635,896.29,10.686,760.001,10.222,2.069,0.028
THA,MEATCONSUMP,,A,2006,,161.593,1.718,975.404,11.558,677.175,9.053,1.992,0.027
THA,MEATCONSUMP,,A,2007,,180.68,1.911,990.664,11.673,760.037,10.104,2.492,0.033
THA,MEATCONSUMP,,A,2008,,168.672,1.774,879.579,10.31,630.206,8.334,2.38,0.032
THA,MEATCONSUMP,,A,2009,,170.544,1.785,855.298,9.975,636.014,8.368,2.232,0.029
THA,MEATCONSUMP,,A,2010,,189.666,1.975,879.673,10.209,631.311,8.266,2.292,0.03
THA,MEATCONSUMP,,A,2011,,170.786,1.77,859.597,9.929,626.926,8.17,2.693,0.035
THA,MEATCONSUMP,,A,2012,,156.316,1.613,923.645,10.619,748.085,9.703,2.982,0.039
THA,MEATCONSUMP,,A,2013,,150.943,1.551,941.23,10.774,979.76,12.653,3.3,0.043
THA,MEATCONSUMP,,A,2014,,144.058,1.474,923.449,10.528,1068.013,13.737,3.304,0.043
THA,MEATCONSUMP,,A,2015,,125.86,1.283,913.002,10.372,814.929,10.445,3.376,0.043
THA,MEATCONSUMP,,A,2016,,128.644,1.308,895.96,10.148,695.088,8.883,3.705,0.047
THA,MEATCONSUMP,,A,2017,,136.998,1.389,882.611,9.972,619.814,7.901,3.385,0.043
THA,MEATCONSUMP,,A,2018,,129.105,1.306,878.045,9.899,651.583,8.288,3.681,0.047
THA,MEATCONSUMP,,A,2019,,121.7,1.229,876.4,9.863,616.257,7.825,3.285,0.042
TUR,MEATCONSUMP,,A,1990,,381.679,4.955,0.403,0.006,414.6,6.766,362.888,5.922
TUR,MEATCONSUMP,,A,1991,,372.965,4.761,0.375,0.005,414.312,6.648,363.517,5.833
TUR,MEATCONSUMP,,A,1992,,337.77,4.241,0.3,0.004,440.303,6.95,360.266,5.687
TUR,MEATCONSUMP,,A,1993,,334.276,4.13,0.214,0.003,459.047,7.13,359.373,5.582
TUR,MEATCONSUMP,,A,1994,,311.091,3.783,0.341,0.005,477.271,7.296,324.564,4.962
TUR,MEATCONSUMP,,A,1995,,309.377,3.703,0.341,0.005,501.3,7.543,408.504,6.146
TUR,MEATCONSUMP,,A,1996,,323.286,3.808,0.11,0.001,427.022,6.324,364.842,5.403
TUR,MEATCONSUMP,,A,1997,,384.984,4.464,0.086,0.001,475.715,6.934,376.097,5.482
TUR,MEATCONSUMP,,A,1998,,363.564,4.15,0.13,0.002,497.289,7.136,372.194,5.341
TUR,MEATCONSUMP,,A,1999,,354.702,3.986,0.112,0.001,604.874,8.546,366.643,5.18
TUR,MEATCONSUMP,,A,2000,,358.152,3.964,0.197,0.002,666.018,9.268,372.987,5.19
TUR,MEATCONSUMP,,A,2001,,333.564,3.638,0.038,0.001,613.305,8.408,350.544,4.806
TUR,MEATCONSUMP,,A,2002,,328.653,3.532,0.1,0.001,710.99,9.605,332.488,4.492
TUR,MEATCONSUMP,,A,2003,,301.214,3.191,0.1,0.001,884.585,11.779,311.996,4.155
TUR,MEATCONSUMP,,A,2004,,375.915,3.927,0,0,889.437,11.681,318.008,4.176
TUR,MEATCONSUMP,,A,2005,,327.208,3.373,0,0,936.972,12.143,315.052,4.083
TUR,MEATCONSUMP,,A,2006,,346.096,3.523,0,0,897.479,11.486,315.145,4.033
TUR,MEATCONSUMP,,A,2007,,431.933,4.344,0,0,1050.061,13.277,322.922,4.083
TUR,MEATCONSUMP,,A,2008,,374.954,3.726,0,0,1046.84,13.078,320.159,4
TUR,MEATCONSUMP,,A,2009,,322.077,3.16,0,0,1211.013,14.938,299.6,3.696
TUR,MEATCONSUMP,,A,2010,,659.916,6.387,0,0,1336.552,16.262,274.597,3.341
TUR,MEATCONSUMP,,A,2011,,742.358,7.079,0,0,1410.726,16.911,295.395,3.541
TUR,MEATCONSUMP,,A,2012,,803.841,7.546,0,0,1457.105,17.195,322.073,3.801
TUR,MEATCONSUMP,,A,2013,,851.696,7.867,0,0,1428.171,16.583,351.261,4.079
TUR,MEATCONSUMP,,A,2014,,867.409,7.882,0,0,1531.979,17.501,379.245,4.333
TUR,MEATCONSUMP,,A,2015,,1030.598,9.217,0,0,1619.416,18.207,405.062,4.554
TUR,MEATCONSUMP,,A,2016,,1061.198,9.342,0,0,1601.654,17.726,406.951,4.504
TUR,MEATCONSUMP,,A,2017,,991.887,8.599,0,0,1758.351,19.163,401.485,4.376
TUR,MEATCONSUMP,,A,2018,,1151.432,9.839,0,0,1733.571,18.623,400.985,4.308
TUR,MEATCONSUMP,,A,2019,,1122.8,9.474,0,0,1796.786,19.059,401.985,4.264
UKR,MEATCONSUMP,,A,1990,,1985.4,0,1576.3,0,708.4,0,45.8,0
UKR,MEATCONSUMP,,A,1991,,1877.6,0,1421.1,0,654.4,0,39.7,0
UKR,MEATCONSUMP,,A,1992,,1521.645,20.716,1167.852,17.716,499.2,8.544,35,0.599
UKR,MEATCONSUMP,,A,1993,,1286.14,17.544,1008.413,15.327,363.725,6.237,30,0.514
UKR,MEATCONSUMP,,A,1994,,1158.696,15.857,860.378,13.12,264.836,4.556,42.636,0.734
UKR,MEATCONSUMP,,A,1995,,981.644,13.499,805.202,12.338,235.092,4.064,38.185,0.66
UKR,MEATCONSUMP,,A,1996,,796.546,11.023,787.519,12.144,308.762,5.372,31.235,0.543
UKR,MEATCONSUMP,,A,1997,,782.87,10.919,700.685,10.89,241.619,4.237,23.724,0.416
UKR,MEATCONSUMP,,A,1998,,681.26,9.586,676.503,10.607,251.17,4.443,20.578,0.364
UKR,MEATCONSUMP,,A,1999,,648.542,9.21,638.704,10.107,291.719,5.208,18.875,0.337
UKR,MEATCONSUMP,,A,2000,,831.1,11.912,746.022,11.914,244.944,4.413,16.814,0.303
UKR,MEATCONSUMP,,A,2001,,551.617,7.978,592.846,9.554,333.274,6.059,15.22,0.277
UKR,MEATCONSUMP,,A,2002,,562.849,8.212,602.43,9.794,394.917,7.243,16.43,0.301
UKR,MEATCONSUMP,,A,2003,,562.402,8.274,626.32,10.267,444.664,8.224,16.4,0.303
UKR,MEATCONSUMP,,A,2004,,539.893,8.004,599.267,9.9,687.141,12.807,16.475,0.307
UKR,MEATCONSUMP,,A,2005,,552.62,8.249,543.8,9.046,667.269,12.522,16.215,0.304
UKR,MEATCONSUMP,,A,2006,,588.65,8.839,585.207,9.792,772.543,14.584,14.6,0.276
UKR,MEATCONSUMP,,A,2007,,530.023,7.998,710.235,11.943,855.393,16.228,15.3,0.29
UKR,MEATCONSUMP,,A,2008,,500.446,7.585,799.512,13.502,1072.681,20.438,17.116,0.326
UKR,MEATCONSUMP,,A,2009,,446.684,6.798,687.601,11.661,1094.246,20.936,17.801,0.341
UKR,MEATCONSUMP,,A,2010,,419.771,6.417,765.731,13.043,1103.633,21.209,21.103,0.406
UKR,MEATCONSUMP,,A,2011,,393.351,6.041,802.702,13.738,1037.339,20.029,19.604,0.379
UKR,MEATCONSUMP,,A,2012,,376.746,5.815,934.266,16.069,1139.722,22.116,19.718,0.383
UKR,MEATCONSUMP,,A,2013,,407.653,6.325,934.748,16.161,1124.618,21.936,18.719,0.365
UKR,MEATCONSUMP,,A,2014,,391.847,6.111,771.37,13.405,1083.542,21.244,14.41,0.283
UKR,MEATCONSUMP,,A,2015,,350.632,5.496,736.468,12.863,1072.89,21.142,13.695,0.27
UKR,MEATCONSUMP,,A,2016,,339.34,5.345,748.85,13.144,1034.783,20.491,13.403,0.265
UKR,MEATCONSUMP,,A,2017,,316.916,5.016,737.639,13.01,1058.425,21.062,13.503,0.269
UKR,MEATCONSUMP,,A,2018,,316.051,5.027,733.994,13.009,1079.029,21.576,13.803,0.276
UKR,MEATCONSUMP,,A,2019,,289.175,4.622,725.661,12.924,1110,22.304,13.803,0.277
USA,MEATCONSUMP,,A,1990,,11047.425,30.673,7271.306,22.496,10047.99,35.072,180.365,0.63
USA,MEATCONSUMP,,A,1991,,11076.048,30.46,7438.693,22.795,10564.633,36.524,179.985,0.622
USA,MEATCONSUMP,,A,1992,,11145.846,30.359,7927.068,24.06,11079.007,37.937,176.206,0.603
USA,MEATCONSUMP,,A,1993,,11018.411,29.718,7901.17,23.746,11383.821,38.599,172.812,0.586
USA,MEATCONSUMP,,A,1994,,11527.967,30.772,8087.108,24.054,11681.832,39.201,157.085,0.527
USA,MEATCONSUMP,,A,1995,,11726.191,30.956,8059.439,23.708,11768.015,39.055,156.897,0.521
USA,MEATCONSUMP,,A,1996,,11902.566,31.05,7618.093,22.144,12138.6,39.808,151.266,0.496
USA,MEATCONSUMP,,A,1997,,11767.677,30.316,7629.886,21.903,12365.85,40.049,150.776,0.488
USA,MEATCONSUMP,,A,1998,,12051.787,30.658,8304.833,23.541,12618.955,40.355,163.105,0.522
USA,MEATCONSUMP,,A,1999,,12324.702,30.972,8597.4,24.075,13547.46,42.8,162.407,0.513
USA,MEATCONSUMP,,A,2000,,12502.563,31.067,8456.333,23.414,13838.213,43.227,160.538,0.502
USA,MEATCONSUMP,,A,2001,,12351.209,30.378,8387.84,22.988,13981.094,43.229,166.772,0.516
USA,MEATCONSUMP,,A,2002,,12737.932,31.038,8684.944,23.581,14775.789,45.262,172.788,0.529
USA,MEATCONSUMP,,A,2003,,12338.907,29.803,8815.578,23.726,15028.27,45.632,166.535,0.506
USA,MEATCONSUMP,,A,2004,,12667.489,30.33,8816.304,23.522,15485.106,46.611,168.999,0.509
USA,MEATCONSUMP,,A,2005,,12663.362,30.049,8669.975,22.925,15851.712,47.288,161.366,0.481
USA,MEATCONSUMP,,A,2006,,12833.822,30.171,8640.945,22.636,16081.683,47.528,161.473,0.477
USA,MEATCONSUMP,,A,2007,,12841.442,29.903,8966.171,23.265,15976.45,46.769,174.677,0.511
USA,MEATCONSUMP,,A,2008,,12447.318,28.71,8814.218,22.654,16074.879,46.611,155.466,0.451
USA,MEATCONSUMP,,A,2009,,12268.343,28.037,8998.38,22.914,15497.455,44.523,153.591,0.441
USA,MEATCONSUMP,,A,2010,,12032.32,27.257,8656.821,21.851,15990.057,45.536,143.761,0.409
USA,MEATCONSUMP,,A,2011,,11689.672,26.262,8332.955,20.86,16471.319,46.52,133.758,0.378
USA,MEATCONSUMP,,A,2012,,11701.59,26.083,8408.706,20.885,15888.453,44.522,135.839,0.381
USA,MEATCONSUMP,,A,2013,,11569.143,25.595,8684.036,21.408,15938.801,44.33,146.832,0.408
USA,MEATCONSUMP,,A,2014,,11211.285,24.627,8650.017,21.172,16313.923,45.05,158.367,0.437
USA,MEATCONSUMP,,A,2015,,11276.32,24.599,9340.839,22.706,17423.411,47.783,165.402,0.454
USA,MEATCONSUMP,,A,2016,,11678.355,25.308,9476.463,22.883,17773.585,48.421,165.788,0.452
USA,MEATCONSUMP,,A,2017,,12046.112,25.939,9541.327,22.893,18064.791,48.901,177.269,0.48
USA,MEATCONSUMP,,A,2018,,12175.84,26.057,9748.165,23.246,18376.41,49.439,189.068,0.509
USA,MEATCONSUMP,,A,2019,,12374.514,26.324,10126.008,24.002,18733.631,50.098,165.54,0.443
VNM,MEATCONSUMP,,A,1990,,164.316,1.686,712.404,8.147,169.56,2.188,2.79,0.036
VNM,MEATCONSUMP,,A,1991,,165.344,1.661,690.523,7.731,164.67,2.08,2.34,0.03
VNM,MEATCONSUMP,,A,1992,,172.917,1.702,807.69,8.857,175.52,2.172,2.34,0.029
VNM,MEATCONSUMP,,A,1993,,170.8,1.648,858.3,9.226,168.07,2.038,2.648,0.032
VNM,MEATCONSUMP,,A,1994,,175.699,1.664,945.138,9.972,170.05,2.024,3.22,0.038
VNM,MEATCONSUMP,,A,1995,,179.945,1.675,1000.681,10.38,175.22,2.051,4.17,0.049
VNM,MEATCONSUMP,,A,1996,,175.6,1.61,1047.484,10.698,196.597,2.265,4.65,0.054
VNM,MEATCONSUMP,,A,1997,,164.285,1.485,1089.498,10.972,284.956,3.238,4.644,0.053
VNM,MEATCONSUMP,,A,1998,,163.284,1.457,1161.425,11.547,299.736,3.362,4.71,0.053
VNM,MEATCONSUMP,,A,1999,,178.821,1.577,1248.972,12.271,325.44,3.607,4.7,0.052
VNM,MEATCONSUMP,,A,2000,,186,1.622,1404.531,13.646,365.342,4.005,4.825,0.053
VNM,MEATCONSUMP,,A,2001,,194.488,1.678,1487.739,14.302,385.371,4.18,4.917,0.053
VNM,MEATCONSUMP,,A,2002,,200.33,1.711,1639.938,15.608,430.243,4.62,5.439,0.058
VNM,MEATCONSUMP,,A,2003,,205.187,1.736,1786.104,16.836,456.507,4.855,6.077,0.065
VNM,MEATCONSUMP,,A,2004,,224.133,1.878,2268.723,21.186,427.458,4.504,7.914,0.083
VNM,MEATCONSUMP,,A,2005,,264.871,2.199,2277.456,21.07,400.805,4.184,9.297,0.097
VNM,MEATCONSUMP,,A,2006,,304.573,2.506,2597.806,23.812,473.363,4.895,10.652,0.11
VNM,MEATCONSUMP,,A,2007,,406.921,3.316,2564.975,23.294,613.667,6.288,11.599,0.119
VNM,MEATCONSUMP,,A,2008,,520.114,4.199,2786.974,25.071,781.966,7.936,9.724,0.099
VNM,MEATCONSUMP,,A,2009,,621.148,4.966,3062.346,27.278,897.224,9.017,9.548,0.096
VNM,MEATCONSUMP,,A,2010,,586.863,4.643,3047.922,26.871,1092.26,10.864,9.246,0.092
VNM,MEATCONSUMP,,A,2011,,816.874,6.394,3117.908,27.192,1570.368,15.451,8.807,0.087
VNM,MEATCONSUMP,,A,2012,,845.722,6.545,3213.08,27.708,1257.183,12.231,8.07,0.079
VNM,MEATCONSUMP,,A,2013,,1088.585,8.328,3362.623,28.666,1247.536,11.999,9.273,0.089
VNM,MEATCONSUMP,,A,2014,,1332.012,10.075,3518.102,29.652,1351.58,12.852,11.363,0.108
VNM,MEATCONSUMP,,A,2015,,1303.264,9.75,3580.12,29.843,1601.51,15.062,13.336,0.125
VNM,MEATCONSUMP,,A,2016,,1301.019,9.63,3669.954,30.27,1450.986,13.502,13.228,0.123
VNM,MEATCONSUMP,,A,2017,,1444.601,10.584,3736.858,30.508,1291.343,11.894,17.3,0.159
VNM,MEATCONSUMP,,A,2018,,1231.617,8.935,3884.225,31.399,1684.265,15.361,18,0.164
VNM,MEATCONSUMP,,A,2019,,1133.683,8.145,3241.798,25.953,1794.5,16.208,18,0.163
WLD,MEATCONSUMP,,A,1990,,48001.79,6.564,63493.691,9.687,34587.644,5.956,7827.282,1.346
WLD,MEATCONSUMP,,A,1991,,49534.056,6.664,66083.026,9.919,40107.593,6.781,9179.411,1.554
WLD,MEATCONSUMP,,A,1992,,53735.464,6.936,68682.578,9.888,43960.925,7.172,9593.922,1.559
WLD,MEATCONSUMP,,A,1993,,53990.825,6.796,74273.387,10.43,46893.635,7.399,9878.213,1.566
WLD,MEATCONSUMP,,A,1994,,55260.338,6.853,77304.202,10.7,50233.778,7.845,10123.755,1.583
WLD,MEATCONSUMP,,A,1995,,55983.297,6.844,77947.149,10.637,54367.818,8.356,10339.137,1.594
WLD,MEATCONSUMP,,A,1996,,56277.813,6.793,77858.424,10.478,55627.428,8.475,10009.119,1.52
WLD,MEATCONSUMP,,A,1997,,57214.88,6.817,82007.807,10.887,59016.653,8.775,10376.742,1.554
WLD,MEATCONSUMP,,A,1998,,57299.196,6.734,87044.519,11.402,61460.458,9.069,10716.081,1.584
WLD,MEATCONSUMP,,A,1999,,58130.253,6.744,87046.045,11.253,64754.103,9.434,10890.098,1.589
WLD,MEATCONSUMP,,A,2000,,58775.737,6.731,89208.777,11.384,67720.422,9.75,11392.468,1.64
WLD,MEATCONSUMP,,A,2001,,57627.333,6.516,90841.143,11.445,70257.268,9.986,11330.426,1.611
WLD,MEATCONSUMP,,A,2002,,59808.478,6.677,93168.45,11.59,73680.104,10.341,11448.29,1.607
WLD,MEATCONSUMP,,A,2003,,60689.037,6.691,94581.712,11.619,75381.538,10.448,11719.737,1.624
WLD,MEATCONSUMP,,A,2004,,61416.191,6.687,95504.653,11.587,77757.247,10.643,12168.288,1.666
WLD,MEATCONSUMP,,A,2005,,62534.418,6.724,97826.304,11.722,80664.222,10.904,12550.336,1.697
WLD,MEATCONSUMP,,A,2006,,64599.699,6.861,100494.07,11.893,83390.375,11.134,12708.691,1.697
WLD,MEATCONSUMP,,A,2007,,66169.507,6.941,99470.602,11.627,88141.947,11.624,13172.86,1.737
WLD,MEATCONSUMP,,A,2008,,65333.043,6.77,103374.22,11.935,92614.253,12.064,13036.892,1.698
WLD,MEATCONSUMP,,A,2009,,64826.857,6.635,106238.14,12.116,94530.263,12.163,13100.363,1.686
WLD,MEATCONSUMP,,A,2010,,65015.786,6.574,108701.86,12.247,100185.19,12.734,13169.637,1.674
WLD,MEATCONSUMP,,A,2011,,64568.177,6.449,109587.63,12.197,104217.55,13.087,13253.671,1.664
WLD,MEATCONSUMP,,A,2012,,65185.452,6.433,113120.04,12.439,107200.71,13.299,13291.246,1.649
WLD,MEATCONSUMP,,A,2013,,66372.181,6.472,115748.49,12.577,108859.65,13.344,13665.576,1.675
WLD,MEATCONSUMP,,A,2014,,66024.414,6.362,118492.12,12.723,111663.66,13.527,14019.929,1.698
WLD,MEATCONSUMP,,A,2015,,66223.268,6.308,119015.49,12.632,115883.84,13.876,14502.443,1.737
